geo_id2,geo_name,eatribe,eaid,state,year,pcinc,FC,HC,ea_v5,ea_v30,ea_v32,ea_v66,pcinc_co,unempl_co,logpop,logdist,dist,logruggedness,casino,logresarea_sqkm,BIA_reg,removal,popadultshare,instrument_gold,intrument_silver,wgold_enviro,wsilver_enviro,count_1_all,count_5_governance,count_5_notgovernance,count_7_governance,count_7_notgovernance,share_5_governance,share_5_notgovernance,share_7_governance,share_7_notgovernance
3870,"Soboba Reservation, CA",LUISENO .,548,CA,2000,20337,0,0,0,2,2,1,18689,4.4,6.0822191238,1.9141072035,6.7808821458,-0.6630297303,1,3.159768006,Pacific,10.8977241516,61.1872138977,0,0,435937.25,27217.623046875,5,1,0,1,1,0.200000003,0,0.200000003,0.200000003
3885,"Sokaogon Chippewa Community and Off-Reservation Trust Land, WI",CHIPPEWA.,499,WI,2000,7170,0,0,2,2,3,1,17719,3.9,5.6937322617,4.1683497429,64.6087430453,-2.6001076698,1,2.143736633,Midwest,12.4166049957,60.2693634033,0,0.0077178711,0,0,54,3,3,6,4,0.055555556,0.055555556,0.1111111119,0.0740740746
3925,"Southern Ute Reservation, CO",S.UTE . .,74,CO,2000,13043,1,0,0,2,2,1,18341.2,3.9,7.2477927208,3.3290672302,27.9122938128,-0.7462998033,1,7.9208566624,Southwest,11.8075056076,65.3380813599,0.8176976442,11.0498256683,0,250466.015625,34,0,0,9,1,0,0,0.2647058964,0.0294117648
3930,"South Fork Reservation and Off-Reservation Trust Land, NV",ELKOSHOSH,584,NV,2000,11062,0,0,0,2,2,1,18395.5,3.9,4.7874917984,3.5297482014,34.1153763281,-1.3873643875,0,4.2310695451,Western,11.2977924347,78.3333358765,4.3576431274,2.8598191738,136348.25,96313.953125,2,0,0,2,0,0,0,,0
3935,"Spirit Lake Reservation, ND",SANTEE. .,627,ND,2000,6259,1,0,1,2,2,1,16260.1428571429,3.3857142857,8.0949888229,4.7360272408,113.9804839996,-2.9429130554,1,7.3079507489,Great Plains,12.7886581421,56.0402679443,0,0,0,0,8,0,0,0,0,0,0,0,0
3940,"Spokane Reservation, WA",SANPOIL .,176,WA,2000,9724,0,0,0,2,2,1,17008.75,6.275,7.3362855911,4.0118842125,55.2508769403,-0.6612234116,1,6.4711984203,Northwest,11.0550441742,61.1726417542,0,0,0,0,35,1,5,0,3,0.0285714287,0.1428571492,0,0.0857142881
3955,"Squaxin Island Reservation and Off-Reservation Trust Land, WA",SQUAMISH.,475,WA,2000,8698,1,0,0,3,3,2,19554.5,4.325,5.7838253975,2.8316140175,16.9728331784,-0.6815243363,1,1.9489820814,Northwest,11.463886261,59.6923065186,0,0,0,0,1,0,0,0,0,0,0,0,0
3970,"Standing Rock Reservation, SD--ND",SANTEE. .,627,SD--ND,2000,6322,1,0,1,2,2,1,14245.9,3.4,8.6574764252,4.7159414291,111.713932435,-2.1949779987,1,9.1575925869,Great Plains,12.3843708038,60.1425361633,2.4281425476,0.0530006588,0,0,167,4,2,7,14,0.0239520967,0.0119760484,0.0419161692,0.0838323385
3980,"Stewart Community, NV",WASHO . .,340,NV,2000,12335,1,0,0,2,2,1,24080.875,3.6875,5.2882671356,2.4199311733,11.2450853264,-0.3296684027,0,2.5204378017,Western,10.7222156525,65.6565704346,0,1.5037294626,429216.28125,13267.279296875,44,3,1,3,3,0.0681818202,0.0227272734,0.0681818202,0.0681818202
4015,"Stockbridge-Munsee Community, WI",DELAWARE.,279,WI,2000,14817,0,0,4,3,3,1,16060,4.45,6.5985088348,3.9908323288,54.0998995334,-2.8247108459,1,5.207812874,Midwest,14.0400304794,70.0272521973,0,0,0,0,4,0,0,0,0,0,0,0,0
