geo_id2,geo_name,eatribe,eaid,state,year,pcinc,LOGPCINC,LNPCINC,FC,HC,ea_v5,ea_v30,ea_v32,ea_v66,pcinc_co,unempl_co,logpop,logpopsq,logdist,DIST,logruggedness,casino,logresarea_sqkm,BIA_reg,removal,popadultshare,instrument_gold,intrument_silver,wgold_enviro,wsilver_enviro,count_1_all,count_5_governance,count_5_notgovernance,count_7_governance,count_7_notgovernance,share_5_governance,share_5_notgovernance,share_7_governance,share_7_notgovernance
1575,"Indian Township Reservation, ME",MICMAC. .,504,ME,2000,10690,4.028977705,9.277064004,1,1,0,2,2,1,14119,4.8,6.315358162,39.88374871,4.655985832,45288.28055,-3.080335379,0,4.722739033,Eastern,11.26428509,64.01446533,0,0.05206532,0,4511.660645,5,0,0,2,1,0,0,0.400000006,0.200000003
1610,"Isabella Reservation and Off-Reservation Trust Land, MI",CHIPPEWA.,499,MI,2000,17436,4.24144686,9.766292313,0,0,2,2,3,1,17469.11111,4.222222222,7.223295689,52.17600061,2.13683629,137.0365102,-3.226620674,1,6.337262649,Midwest,13.33158588,64.77024078,0,0.007717871,0,0,6,0,0,0,0,0,0,0,0
1625,"Isleta Pueblo, NM",ISLETA. .,434,NM,2000,11947,4.077258864,9.38823548,0,0,8,7,2,1,16999.2,4.06,7.875879288,62.02947456,2.40604949,254.7120493,-1.216281772,1,6.754356087,Southwest,10.59447575,70.67983246,0,0,0,0,144,0,1,9,21,0,0.006944444,0.0625,0.145833328
1655,Jamestown S'Klallam,KLALLAM .,478,WA,2000,28813,4.459588479,10.26858195,0,0,0,2,3,4,20864,3.75,5.908082962,34.90544429,3.51639843,3283.96432,3.040420055,1,-1.558111309,Northwest,10.82286549,64,0,0,0,0,92,2,0,10,1,0.021739131,0,0.108695649,0.010869565
1685,"Jemez Pueblo, NM",JEMEZ . .,387,NM,2000,7938,3.899711095,8.979416633,0,0,7,7,3,1,26910,2.65,7.562161446,57.18628574,3.93928957,8695.400099,-0.460741669,0,5.891235766,Southwest,10.00501823,68.65904236,0,0,0,0,125,0,2,5,11,0,0.016000001,0.039999999,0.088
1700,"Jicarilla Apache Reservation, NM",W.APACHE.,441,NM,2000,8791,3.94403828,9.08148375,1,0,3,3,3,1,15408.4,4.86,7.796058178,60.77852311,4.65245533,44921.61174,-1.127398968,0,8.172288962,Southwest,12.55018806,63.80090714,0,0,0,0,17,0,1,1,3,0,0.05882353,0.05882353,0.176470593
1735,"Kalispel Reservation, WA",KALISPEL.,555,WA,2000,6822,3.833911715,8.827907963,1,0,0,2,3,1,16953,5.3,5.153291702,26.55641537,4.314349174,20622.87334,-1.03119278,0,2.952052269,Northwest,11.1907444,57.22543716,0,0,0,0,3,1,0,0,0,0.333333343,0,0,0
1750,"Karuk Reservation and Off-Reservation Trust Land, CA",KAROK . .,517,CA,2000,4938,3.693551086,8.50471567,1,0,0,7,3,2,16553.5,5.575,5.129898548,26.31585911,4.368801594,23377.68991,-0.338291377,0,1.066371271,Pacific,10.77772427,59.76331329,27.73145485,0,612215,19111.73828,0,0,0,0,0,0,0,0,0
1770,"Kickapoo (KS) Reservation, KS",FOX . . .,383,KS,2000,8433,3.9259821,9.03990786,1,1,4,2,3,1,16682.71429,3,6.586171627,43.3776567,3.774279833,5946.752076,-2.448606253,0,6.420216678,Southern Plains,13.38573074,58.34482956,0,0,0,0,0,0,0,0,0,0,0,0,0
1815,"Lac Courte Oreilles Reservation and Off-Reservation Trust Land, WI",CHIPPEWA.,499,WI,2000,9119,3.959947216,9.118115428,0,0,2,2,3,1,17243.25,3.9,7.580189228,57.45926873,4.657057285,45400.14974,-2.200712681,1,5.774130559,Midwest,11.93266869,62.78713226,0,0.007717871,0,0,2916,37,34,74,187,0.012688614,0.011659808,0.025377229,0.064128943
